year,month,dayofweek,hourofday,motorway,accidents
1998,04,1,13,M606,1
1993,07,7,08,M25,1
2003,10,4,02,M1,1
1993,07,7,08,M27,1
1996,04,7,06,M1,1
1991,05,5,18,M25,1
1990,02,3,20,M1,1
2003,10,4,02,M5,1
1990,02,3,20,M4,1
1996,04,7,06,M6,2
1993,02,2,07,M11,1
1994,10,7,03,M42,1
1997,03,5,08,M74,1
1988,09,6,18,M25,2
1988,09,6,18,M42,1
2001,12,6,15,M4,1
1993,02,2,07,M27,1
1993,02,2,07,M20,1
1985,05,6,08,M5,1
1982,12,1,14,M4,1
1985,05,6,08,M4,1
1982,12,1,14,M1,1
1990,02,5,07,M9,1
1999,12,3,16,M25,2
2001,10,7,14,M1,1
2001,10,7,14,M4,2
2004,06,4,06,M3,1
2001,10,7,14,M8,1
2004,06,4,06,M5,2
1988,07,7,00,M61,1
1983,04,6,08,M58,1
2004,06,4,06,M1,2
1993,07,7,08,M11,1
1993,06,5,12,M11,1
1993,06,5,17,M1,1
2003,12,7,08,M1,1
1982,03,1,22,M11,1
1985,12,4,23,M62,1
1999,06,5,22,M4,1
2001,05,6,05,M25,1
1984,01,3,10,M1,2
1995,06,1,14,M25,1
1998,05,2,10,M1,2
1990,04,2,06,M8,1
1993,11,5,15,M4,1
1993,11,5,15,M5,1
2002,03,2,12,M6,2
1993,11,5,15,M6,1
1998,01,4,20,M27,1
1997,03,5,08,M40,1
1998,01,4,20,M25,1
1998,05,2,10,M6,1
2004,11,3,09,M62,1
2002,03,2,12,M4,2
1990,04,2,06,M1,1
1994,05,4,09,M25,1
1990,12,6,18,M40,1
1994,09,4,09,M56,1
1988,07,7,00,M40,1
1998,03,2,20,M4,2
1995,03,1,19,M4,1
1982,04,2,02,M1,1
1996,10,6,22,M1,1
1994,01,6,23,M25,1
1997,04,4,08,M1,1
1996,10,6,22,M6,1
1993,12,5,23,M1,1
2004,11,3,09,M56,1
1986,04,2,12,M23,1
2004,10,1,04,M5,1
2003,06,5,13,M42,1
1995,12,6,08,M6,1
2004,11,3,09,M60,1
1998,03,5,19,M621,1
1997,04,4,08,M6,1
1997,04,4,08,M4,2
1996,09,4,17,M53,1
1997,04,4,08,M3,1
1993,04,2,06,M4,1
2000,05,3,09,M62,1
1993,04,2,06,M5,1
1994,09,4,09,M62,1
1979,12,1,13,M5,1
1985,04,5,18,M1,2
1981,09,2,03,M1,1
1979,12,1,13,M1,1
1986,10,4,19,M8,1
1985,04,5,18,M6,1
1996,02,4,09,M4,1
1998,12,3,06,M5,1
1990,10,1,09,M6,2
1990,10,1,09,M4,1
1982,07,5,11,M3,1
1998,12,3,06,M6,1
2003,12,2,19,M6,1
1990,10,1,09,M3,1
1982,07,5,11,M4,1
1996,02,4,09,M6,1
1996,09,4,17,M20,1
1979,01,2,19,M25,1
1986,10,4,19,M4,1
1990,12,6,18,M25,1
1997,03,5,08,M18,1
1985,05,7,23,M62,1
1998,11,6,11,M6,2
1997,06,6,17,M6,2
1997,12,5,08,M1,2
1997,12,5,08,M2,1
1997,06,6,17,M5,5
1989,05,1,05,M40,1
1999,12,1,20,M40,1
2000,07,1,12,M62,1
1998,02,6,10,M6,1
1981,07,2,00,M6,1
1988,09,6,18,M62,1
1998,02,6,10,M1,2
1998,04,4,04,M1,1
2001,01,1,18,M3,1
1997,06,6,17,M4,4
1999,08,2,14,M60,1
1999,08,2,14,M62,1
1997,06,6,17,M1,2
2003,06,5,13,M23,1
1994,05,4,09,M57,1
1993,04,1,20,M62,2
1994,09,4,09,M42,1
1988,07,7,00,M11,1
2000,07,1,12,M60,1
1997,09,5,18,M62,2
2003,06,5,13,M25,1
1999,10,6,18,M61,1
1999,10,6,18,M62,2
1994,09,4,09,M11,1
2003,11,1,19,M6,2
1999,06,4,11,M61,1
2003,11,1,19,M5,1
2000,08,2,08,M4,1
1999,10,6,18,M69,1
1999,10,6,18,M67,1
2000,08,2,08,M1,2
1994,02,2,09,M4,3
1994,02,2,09,M3,1
2000,08,2,08,M5,1
2000,03,7,20,M25,2
1994,02,2,09,M1,2
1994,02,2,09,M5,1
1994,02,2,09,M6,2
1998,03,5,22,M1,1
2003,11,1,19,M4,2
2003,11,1,19,M1,3
1989,08,4,13,M25,1
1998,12,6,23,M56,1
2001,03,3,18,M6,1
1994,09,4,09,M25,3
1995,06,1,14,M62,1
2000,05,3,09,M23,1
1999,10,6,18,M74,1
1991,01,4,16,M8,1
2000,05,3,09,M25,2
1998,03,2,01,M25,1
1991,01,4,16,M3,1
1994,11,3,15,M40,1
1990,04,1,09,M6,1
2001,03,3,18,M4,1
1988,11,3,16,M4,1
1999,06,4,11,M58,1
1997,01,3,18,M25,3
1986,04,2,12,M5,1
2004,04,6,13,M53,1
1998,05,6,14,M1,4
1990,12,6,18,M66,1
1998,05,6,14,M4,2
1998,05,6,14,M6,1
2004,12,1,07,M5,1
2004,12,1,07,M6,1
1997,01,3,18,M11,1
1980,11,2,14,M40,1
1999,03,2,13,M1,1
2004,04,6,13,M62,1
2000,05,3,09,M40,1
1993,11,2,17,M25,1
1993,11,2,17,M20,1
1981,11,1,00,M1,2
1999,03,2,13,M4,2
1998,12,1,04,M4,1
1986,09,5,17,M57,1
1993,11,2,17,M27,1
1999,10,6,18,M25,2
1993,04,4,11,M2,1
1993,04,4,11,M5,1
1999,10,6,18,M27,1
1982,01,6,15,M53,1
1987,03,2,23,M4,1
1987,03,2,23,M1,1
1979,07,3,08,M4,1
1995,07,3,23,M56,1
1991,05,5,18,M62,1
1989,08,4,13,M61,1
1986,06,7,13,M5,1
1992,09,7,13,M40,1
1985,02,4,09,M621,1
1982,01,6,15,M63,1
1999,01,3,18,M6,1
1999,01,3,18,M3,1
1992,03,2,06,M62,1
1990,11,1,07,M4,1
1981,03,5,06,M6,1
2001,10,1,15,M80,1
1997,07,1,17,M6,1
1997,07,1,17,M4,1
1993,11,2,17,M62,1
2003,03,6,07,M1,1
1989,01,5,12,M25,1
1984,06,7,17,M3,2
1992,09,7,13,M25,1
1984,06,7,17,M6,1
1984,06,7,17,M1,2
1999,10,6,18,M40,2
1987,03,4,01,M25,1
2003,03,6,07,M6,1
2004,04,6,13,M90,1
1996,03,2,02,M62,1
1980,08,2,12,M1,1
1993,04,5,23,M4,1
1993,11,2,17,M57,1
1993,04,5,23,M6,1
1993,04,5,23,M1,1
1996,07,3,19,M1,1
1996,07,3,19,M3,1
1993,12,2,06,M5,1
1993,12,2,06,M4,1
1984,09,1,05,M40,1
1996,12,2,06,M6,2
1988,10,4,08,M1,1
1993,12,2,06,M1,1
2001,10,1,15,M62,3
1998,01,6,13,M621,1
1988,10,4,08,M4,1
1988,10,4,08,M6,1
1992,11,4,18,M6,1
1992,11,4,18,M5,1
1993,06,4,14,M5,1
1992,11,4,18,M4,1
1993,06,4,14,M6,3
1988,02,1,18,M1,1
1988,02,1,18,M2,1
1984,08,6,10,M20,1
1981,05,7,15,M6,2
1981,05,7,15,M8,1
1990,04,6,18,M6,1
2003,06,2,10,M1,2
2001,03,3,23,M27,1
2000,12,2,17,M25,1
1998,07,7,12,M60,2
1990,11,4,18,M62,1
1993,12,4,11,M1,1
2003,06,2,10,M5,1
2003,06,2,10,M6,2
1981,05,7,15,M5,1
1981,05,7,15,M3,1
1993,12,4,11,M6,6
1993,12,4,11,M4,1
1993,12,4,11,M5,2
2002,12,7,22,M1,1
1979,04,4,14,M4,2
1995,06,5,15,M74,1
1990,09,4,15,M11,1
1981,12,6,04,M6,1
1980,06,4,08,M1,1
1999,09,2,11,M25,2
1996,09,3,21,M6,1
1993,11,7,21,M6,1
1980,06,4,08,M6,2
1999,04,2,08,M42,1
1988,11,6,17,M8,1
1998,09,4,10,M62,1
1992,09,2,09,M62,1
1993,04,5,14,M1,2
1998,09,4,10,M65,1
2001,01,3,01,M4,1
2003,07,6,16,M1,4
